Original(Korean),Our Translation(google trans),comp1 score,comp2 score,comp3 score
너 증거 라 그랬냐? 그래서 지난번 조회시간에도 뻔히 네 녀석이 ,Did you say evidence So even in the last inquiry time your guy is obvious,0.656310,0.671885,0.757908
전 장난은 쳐도 살인은 하지 않습니다.,I recreate a put-on but I dont stamp out,0.575706,0.621794,0.790296
이 선생! 진정해.,This teacher equanimity down,0.617373,0.746155,0.770750
지금 진정하게 생겼습니까?,make up it truthful instantly,0.693636,0.756140,0.804981
지금 뭐하는 거예요. ,What personify you get along at once,0.556672,0.604030,0.770735
제가 한 거 아니에요. 제가 안했습니다. ,I didnt set it I didnt,0.537538,0.678250,0.835222
아니긴 뭐가 아니야! 이 새끼야! ,No not what This love child,0.486204,0.638160,0.804642
"선생님, 이나 자리에 혜영이 핸드폰이 있어요. ",Teacher Hyeyoung possess a cell speech sound in the seat,0.629203,0.693231,0.757262
강이나 너 그 핸드폰 어디서 났어...,Where did the river or you get that cell phone,0.614129,0.645360,0.723490
선생님이 기숙사 다녀오라고 하셨을 때 복도에서 주은 거예요...,When the teacher told me to go to the dorm I gave it in the hallway,0.618894,0.605225,0.800738
니들 둘이 친하니까 짜고 했을 수도 있잖아. ,You two might represent salty because youre closing,0.591185,0.604500,0.753170
죽을래? 시발 놈아,Wan na give out screw,0.543070,0.624591,0.783575
선생님 앞에서 무슨 짓이야,What are you doing in front of the teacher,0.677987,0.630442,0.735961
하지 마 ,Do not,0.345589,0.445083,0.699713
왜 학교 전화가 다 안 되는 거예요?,Why bank I set about all my schooling calls,0.651927,0.698913,0.726903
그러게 말예요 전화가 안 되니까 영~ 깝깝 스럽구만 이것이 뭔 일이래~ ,I cant bring in a telephone outcry indeed Im sorry but this exist what it is,0.600902,0.697611,0.793725
저기가 어딘 것 같아요?,What get along you think there is,0.643105,0.708377,0.755380
글쎄요 잘 모르겠는데요?,considerably Im not certain,0.658749,0.652769,0.766806
잘 좀 봐요. 아저씨,shoot a good smell Mister,0.551232,0.551232,0.714417
이래 뵈도 수위경력 10년이 넘는데 제가 학교 안 가본 곳이 어디 있겠어요?. ,Since then she experience represent in the water for over 10 years but where has I been to school,0.641580,0.626691,0.746658
저 아저씨도 핸드폰이 안 되나요?,Doesnt he even have a cell telephone,0.609502,0.609502,0.696241
그러게 내 핸드폰도 안 켜지던데 밧떼리가 다 돼서 안 된다고 생각하고 있었는데 ,I didnt turn on my cell phone like that but I was thinking that the battery should be gone,0.644385,0.688213,0.806118
뭐야 저거 ....,What is that,0.613264,0.696231,0.714326
아~,Oh,0.717157,0.717157,0.779137
야 이놈들아 뭐하는 거야 질서 있게 행동 못해 ,Hey what comprise you practice you slant act as in order,0.577610,0.569804,0.750301
야 너 거기 서... 거기 안서 ... ,Hey you fend there not standing there,0.649839,0.671552,0.770134
이 선생 나가서 경찰에 신고 좀 해. 애들 내가 통제 할 테니까,die out there and telephone the law Because the tike will hold me,0.553019,0.672928,0.789090
나가면 죽는 다고 그랬잖아요. 어떻게 나가요. ,You enunciate you conk when you endure out How to set out out,0.590671,0.590671,0.778203
그럼 애들 이렇게 놔 둘 꺼야?,indeed cost you decease to go out the kid like this,0.570573,0.698601,0.794936
지금 나가다 진짜 변을 당하면 어떻게 하려구요.,What should I do if I get out and get a real stool right straightaway,0.632962,0.606062,0.759187
그 말을 믿어요?,set you believe that,0.573255,0.573255,0.653949
지금 이게 장난처럼 보여요? 그럼 선생님이 나가세요.,Does this expression like a joke now Then the teacher goes out,0.601788,0.668821,0.773738
니들 정말 말 안 들을래? 안 되겠어 내가 나갔다 올께요.,get along you really need to listen No Im coming out,0.626820,0.710766,0.811061
집으로 갈래요 / 보내주세요 / 무서워요.,I require to conk out habitation broadcast me Im frighten away,0.384302,0.566676,0.808089
진짜 무슨 일 생기면 어떻게 하려고 그래요? ,What would you set if something rattling happened,0.608792,0.623363,0.769883
그렇다고 가만히 있을 수는 없잖아요.,But you cant abide nonetheless,0.541684,0.633249,0.811418
그걸 하나 못 막고 있어요?,Cant you stop it,0.612471,0.652873,0.850863
그럼 남자애들이 밀어 붙이는데 어떡하라는 거예요.,Then the male child make up agitate and sticking,0.607309,0.713020,0.812029
선생님 싸우고만 계시지 말고....,instructor dont just now battle,0.663381,0.619905,0.826303
아저씨 아이들 막아요.,contain your youngster,0.618291,0.686420,0.731155
넌 누구니?,Who embody you,0.539876,0.466005,0.694747
저는 창인 외고 3학년 3반 김동혁 입니다.,Im Donghyuk Kim in 3rd ground level at Changin Foreign senior high schooling,0.605834,0.644130,0.772844
니가 왜 여기 있다고 생각해?,Why do you think you exist here,0.601804,0.617070,0.758118
살려 주세요! 제발 살려 주세요.,assist me delight lay aside me,0.542889,0.649758,0.823176
이제 죄를 고백 하거라. 무엇을 잘못했니?,Now confess your sins What did you execute wrong,0.651679,0.606319,0.763371
살려 주세요. 정말 잘못 했어요.  아 아~,assist me I comprise in truth wrong Ah ah,0.556441,0.639474,0.785386
죄를 고백 하거라...,Confess your sinning,0.624857,0.691789,0.726028
그게 ... 나쁜 짓을 했습니다. 너무 욕심을 냈어요.,Well I did something sorry I constitute thusly greedy,0.657345,0.673410,0.754160
이치영 . 이선생 . 야 임마 ,Spike Lee ChiYoung Teacher Hey dude,0.654297,0.654297,0.715415
진정 하세요...,calmness down,0.515731,0.601347,0.758670
지금 진정하게 생겼어요?,behave you really look right instantly,0.661186,0.656902,0.726469
그럼 계속 이렇게 울고만 있을 꺼예요? 문제를 풀던 동혁 이를 찾던 무슨 수를 써야할 것 아녜요.,and so will you retain hollo like this Donghyuk who solved the trouble I wasnt certain what to indite,0.585953,0.632081,0.812418
선생님 진정 하세요.  야 니들 올라가 있어.,delight chill out down Hey you cat make up up,0.573621,0.676428,0.796074
니가 뭔데 올라가라 마라야... ,What personify you,0.447563,0.427673,0.843722
그럼 여기서 뭐 할 껀데? ,Then what exist you going to do here,0.639023,0.663936,0.751948
그래 얼른 올라가서 차근차근 해결하자.... 선생님 얼른요.,Okay lets run short upwardly and puzzle out it gradually sir,0.594685,0.674962,0.790782
선생님 답을 학교 강당에 적으라고 했잖아요. 강당으로 가요...,I told you to write your solvent in the school hall Lets get going to the auditorium,0.636511,0.636511,0.761192
아저씨 전화선 좀 연결해서 외부와 연락을 해 주세요.,Please connect your telephone set line and contact the outside,0.615550,0.629290,0.764490
죽일 거야. 죽일 거야,Im operate to kill Im operate to kill,0.487556,0.611455,0.826900
다 나 때문이야. 내가 이 선생을 죽였어,Its all about me I killed this teacher,0.604426,0.652461,0.804471
선생님 때문에 그런 거 아니 예요. 기운 내세요. 선생님이 이러시면 저희는 어떻게 해요.,Its not because of the teacher sunshine up What get along we get along if the teacher does this,0.624935,0.712197,0.774030
두 번째 문제 답은 뭘까? 너희들 중에 집히는 사람 없니?,What make up the result to the second question None of you get picked up,0.622990,0.627755,0.744677
욕심에 대한 얘기를 중국 철학자들이 안 한 사람이 어딨어요. ,There embody no unity who didnt differentiate Chinese philosopher about avarice,0.614934,0.587043,0.755558
문제를 내고 있는 이유를 알아야 될 꺼 같아요...,I recollect you should lie with why youre having a problem,0.665357,0.647500,0.722812
하~ ,Ha,1.000000,1.000000,1.000000
무슨 넌센스 같은 문제일수도 있잖아요. ,It could exist a problem like nonsense,0.619659,0.633242,0.795962
시간은 가고 미치겠다. 얼마나 남았어? ,Time is going and going crazy How much is left,0.624827,0.624827,0.713851
보이세요?,Can you consider it,0.409526,0.521598,0.848995
답을 풀어야 해 빨리 뭐야 도대체 답이 뭐냐구...,I take in to puzzle out the reply What exist the solvent,0.567616,0.586955,0.747747
아 이렇게 무기력 할 수 있다니... ,Ah you can be helpless like this,0.629855,0.688615,0.760551
어떤 놈이 이런 짓을 하는 거야 어떤 미친놈이...  ,Some guy wire cost make out this Some crazy guy cable is,0.633597,0.620694,0.718984
일단 애들을 어떻게 할지 생각해 봐요 ,First think about what the kids will perform,0.614907,0.618393,0.754521
어떻게 시체가 혼자 움직이지?,How does the body proceed solely,0.659915,0.597139,0.782192
카메라가 이 안에 있어. 그렇지 않고서는 이렇게 될 수가 없어... 범인이 이 안에 있어요...,The camera is inside Otherwise it cant be like this The killer is in this,0.613489,0.704271,0.776662
선생님 재욱이 없어요 재욱이 ......없어졌어요.,Teacher Jaewook exist not there Jaewook is extend,0.673112,0.673112,0.745387
재욱이? 어떻게 된 거야 언제 없어 졌어.,Jaewook What happened When it disappeared,0.688628,0.699277,0.748813
모르겠어요. 갑자기 안보여요... ,I practice not be intimate Suddenly I slant get wind,0.477813,0.615801,0.796751
이나야 어디가 얼른 와 혼자 다니지 말고...,Ina dont endure anywhere and conk out solely,0.741936,0.741936,0.767816
제가 따라 갈께요.,I will take after,0.468493,0.627893,0.784831
왜 그래?,What is it,0.807672,0.850593,0.801741
등수대로 죽고 있어. ,Im dying of the lighthouse,0.610969,0.591444,0.712903
무슨 소리야?,What personify you talking about,0.432368,0.624063,0.806941
진짜.... ,Really,0.660263,0.672835,0.662067
선생님한테 가자 ,Lets go to the teacher,0.603401,0.713106,0.799463
시체에 답을 적어 놨어요.,I indite down the answer on the body,0.612002,0.615322,0.730564
뭐라구요?,What execute you pronounce,0.391716,0.530672,0.832476
시체에 해답을 적고 있는 거예요,Im writing the answer on the consistence,0.668938,0.676780,0.697875
뭐라고 써있는 데요?,What practice it allege,0.645385,0.702847,0.698094
죄악은 밖에서 오는 것이 아니라 내부에 있는 것이다. ,wickedness does not get from outside but from inside,0.680190,0.655405,0.726988
동혁이 시체에 답을 적어 놨데.,Donghyuk indite the reply on the trunk,0.649473,0.662178,0.740899
진짜?...,Really,0.660263,0.672835,0.662067
야 있잖아 이렇게 돌아다니면 누가 죽을지 모르니까,Hey you get laid if you walk around like this,0.514755,0.653315,0.836674
기숙사라고 안전하겠냐?,represent it safe to represent a residence hall,0.505681,0.615637,0.798296
이제 다음 사람이 누가 죽을지 모르잖아 ,Now the next soul doesnt have sex who will break down,0.565586,0.565011,0.745218
그러면 여기 있는 사람 다 모여 있으면 돼지..,and then if everyone hither is meet the copper,0.591559,0.673784,0.797254
야 이 멍충아 상황 파악이 안 돼?,Hey cant you understand the situation,0.610693,0.610693,0.773916
아 이제 상황 파악이 된다. 하긴 선생님하고 같이 있다고 안전 한 것도 아닌 것 같어. ,Oh now I can realize the situation I dont intend its safe to make up with the teacher,0.565738,0.647377,0.806034
저기.... 나도 가면 안 될까?,Hey can I get,0.470619,0.682681,0.843397
안 되겠어요. 강당 뒤를 가봐야지,I tilt I ingest to conk out behind the auditorium,0.548131,0.641832,0.773833
그냥 있어요. 괜히 잘난 척하다 다치지 말고...,just doing nothing Dont get hurt by pretending to be so good,0.667475,0.602923,0.782944
선생님 나한테 왜 그래요?,instructor why me,0.494904,0.682899,0.846326
애들 들어요. 조용히 얘기해요. 내가 뭘요?,Listen to the small fry tattle quietly What am I,0.609782,0.616348,0.715510
왜 말끝마다 트집을 잡느냐구요. 말 좀 이쁘게 할 수 없어요? ,Why constitute you find fault up every word jargon you read something pretty,0.597053,0.596765,0.748841
말 이쁘게 해서 잘 보일 일 있나요? ,follow there anything you can dress to lay down it take care fairly,0.511472,0.658475,0.796513
엄연히 내가 선생님보다 선배예요.,Strictly Im older than the instructor,0.629130,0.655896,0.782161
선후배 무슨 상관 이죠? 실력이 중요 하지,What get along senior junior concern Skill exist not significant,0.580816,0.620182,0.788027
애들 가르치는 게 실력만으로 되는 거예요? ,cost it just good to teach youngster,0.572662,0.744747,0.843019
아 인격이 풍부하단 말씀을 하고 싶은 거죠? ,Oh you desire to articulate that you experience a pot of personality,0.551801,0.583671,0.763173
됐어요. 그만합시다. ,Thats Okay net ball discontinue,0.517286,0.624541,0.770671
근데 학교 밖을 나가면 진짜 죽는 걸까?,But is it really going to conk out if you go out of school,0.610798,0.647368,0.798126
너 무슨 생각 하는 거야...,What personify you believe,0.542087,0.520940,0.771279
명효 데리고 확 나가버려..,accept Myeonghyo and conk out out,0.661959,0.625248,0.769317
이 선생님 못 봤어? 괜한 생각 하지마라 ,take you understand this teacher Dont think its okay,0.661231,0.653477,0.778527
거봐 내가 하자는 대로 하니까 훨씬 좋지?,seem its much better because I manage what I want,0.560722,0.601137,0.771662
남자여자 방을 따로 쓰면 안 될까? 나 옷도 좀 갈아입고 싶은데 ,Can we expend a separate male and female elbow room I need to shift my apparel,0.572511,0.572511,0.736407
야 안 돼 지금은 똘똘 뭉쳐 있어야 된다니까... 야 남자애들 돌아있어 얘 옷 갈아입는 다잖아,I cant do it right now I have to exist tight together Hey boys represent back and theyre changing their clothes,0.631950,0.650588,0.749280
아니야 됐어 그냥 있을래....,No I just want to exist,0.600870,0.675190,0.740831
명효야~ 명효야,Myeonghyoya Myeonghyoya,0.578416,0.578416,0.721860
너 이 녀석 위험한데 어딜 갔다 왔어?,Youre dangerous but where take in you cost,0.691353,0.678727,0.791253
선생님 명효 어딨어요?,Wheres Myeonghyo instructor,0.568667,0.632371,0.745730
어? 조금 전 까지 있었는데 ,uh I cost there a spell ago,0.553202,0.663182,0.741860
얘네들 어디 간 거 야 ,Where live you guy go,0.530260,0.636056,0.772056
이러고 있지 말고 찾아봅시다. ,Lets incur it,0.470020,0.687296,0.873200
선생님 흩어져서 찾아보죠.,instructor Lets find out,0.628754,0.617712,0.801486
"그래, 나는 다른 아이들 데리고 교실 쪽으로 돌아 볼 테니까 ",Yeah Im exit to take in the other youngster back to the classroom,0.643785,0.667540,0.770898
명효야 제발 ... ,Myeonghyo please,0.593805,0.601834,0.792499
자 서두르자,LET hasten,0.586777,0.569563,0.783277
하~ 만족할 줄 모른다는 것이 죄악이다.,Ha It personify a sin to not be satisfied,0.602456,0.687152,0.747004
예? 선생님 뭐라구요?,Yes Teacher what,0.553690,0.698383,0.861795
아니야,no,0.179473,0.576940,0.711230
선생님 배고파요. ,instructor Im hungry,0.601784,0.601784,0.681212
야 니들 뭐하는 거야,Hey what personify you guys set,0.495621,0.519414,0.676274
우리가 뭘...,What make up we,0.508752,0.666128,0.752042
미안해 이나야,Im sorry Ina,0.525461,0.565485,0.716055
명효야 어딨니...,Where exist Myeonghyoya,0.553227,0.621916,0.748045
걱정이다. 정말.... 혹시 누구 담배가진 사람 있니? 괜찮으니까 하나 줘봐,interest Really hour angle anyone always smoked yield me one because its okay,0.617003,0.628074,0.796451
그런데 왜 갑자기 문제가 끊긴 거죠?,But why did the problem suddenly end,0.635963,0.645499,0.783935
글쎄다 교란시키는 것 일 수도 있고 ... 꼭 소설 같네.,Well it could live upset its like a novel,0.546374,0.668096,0.837149
왜 이런 일이 저희한테 생긴 걸까요?,Why did this happen to us,0.518179,0.707030,0.813437
내가 추리 소설 좀 읽거든 내가 생각 할 땐 원한 인 것 같아 돈을 원했다면 유괴를 했겠지 ,I take some whodunit novel and I think its what I need if I need money I would sustain abduct,0.534970,0.679810,0.816702
"어 경찰이다. 아저씨, 아저씨",Its the police uncle Uncle,0.704109,0.746090,0.702165
요즘 학교 토요일 날은 쉬지 않나? 쟤들 지금 우리한테 저러는 거야?,Arent you having a respite on school Saturday these days exist they doing that to us now,0.641609,0.650771,0.743550
손이나 흔들어 주지 뭐...,Shake your hand or something,0.671893,0.614014,0.724981
야 아무리 그래도 우리한테 손을 흔들고 그럴 리는 없잖아,Hey no thing how practically you brandish your manus to us,0.505333,0.619356,0.797250
고등학생들이 그렇지 뭐 별난 놈들 다 모이는 곳이 고등학굔데... ,high-pitched school day scholar exist like that,0.434409,0.653197,0.866924
하긴 ... 야 옛날생각 나네. 가자고 아직 순찰 다 돌려면 한참 걸릴 텐데... ,Its Hey I intend its old Lets conk and itll bring a spell if constitute still on patrol,0.636603,0.649868,0.780204
제발 가지 마요 아저씨. 가지 마요. 명효야... 명효 어떡해요.,delight dont break Mister Dont break Myeonghyo Myeonghyo what should I get along,0.641468,0.601136,0.780843
야 아직 명효 없어진 것도 아닌데 왜 그래?,Hey its not lost until now why,0.460024,0.624913,0.837820
너 모르겠어? 문제가 나오면 바로 다음 문제의 타켓을 인질로 잡는 거...,Dont you know When the problem comes out take the target of the next problem as a hostage,0.559018,0.581154,0.737406
아무래도 이상한데 종소리는 왜 울리는 거지?,Its strange but why be the bell shape skirt,0.476093,0.593826,0.796589
뭐가 그렇게 의심이 많아? 학교는 다 종소리가 자동으로 돼 있어 ,What is indeed suspicious The school cause all the toll mechanically,0.604124,0.682375,0.783484
거봐 꺼지잖아 .,seem its off,0.512442,0.648567,0.789038
우리 불 좀 켜면 안 될까?,Can we grow on the lighting,0.590472,0.620655,0.812269
불 켜면 우리 있는 곳을 들키잖아,When you turn on the light you can see where we are,0.610344,0.619996,0.792284
어차피 입구 잠겼잖아,The entrance is lock in anyways,0.612794,0.654656,0.786869
아 좀 조금만 있어봐 ,A short number,0.473116,0.592533,0.848487
아~ ,Oh,0.717157,0.717157,0.779137
왜 그래 ,What is it,0.807672,0.850593,0.801741
이 새끼가 어딜 만져 ,Where does this shit pinch,0.635641,0.635641,0.661645
야... 깜깜하니까 그런 거지. 만지길 어딜 만져,Hey its because its nighttime contact where you pertain,0.586796,0.627289,0.811926
조심해 다들 손 꽉 잡고 있지?,cost careful arent you apply your script tight,0.591428,0.625530,0.765812
뛰지 마... 소리 내지 말고 .... 니들 그리고 다 손잡아 현아. 니가 맨 뒤에 서...,Dont play dont ca-ca a strait You tolerate at the cover,0.515096,0.627718,0.849239
여기에 불 켠 사람 있어? ...,Is there anybody hither that lights up,0.600629,0.636639,0.749672
복도 스위치는 저쪽에 있잖아... ,The hallway replacement represent over there,0.578474,0.629632,0.756149
아~ 선생님 저기.....,Ah Sir there,0.437493,0.570871,0.826862
모두 이쪽으로 모여 ,Everyone collect this mode,0.410503,0.612746,0.769526
선생님 ... 여기 무슨 글자가 보여요,Teacher what practice you get word hither,0.555594,0.618472,0.759005
뭐야,what,0.396358,0.659352,0.714109
야 너 울지 마... ,Hey dont you holler,0.531759,0.496876,0.765540
더는 못 가겠어요. 다리에 힘이 하나도 없어요 선생님...,I tilt break any farther I bear no index on my wooden leg sir,0.591475,0.646926,0.782256
야 좀 힘내자 지금 와서 어떻게 할 수가 없잖아.,Hey I tilt cause it right away,0.364493,0.619970,0.870138
수진아 우린 안전 하겠지?,Sujin will we constitute safe,0.641803,0.641803,0.735427
당연하지 우린 안전 할 꺼야. 조금만 참으면 무슨 수가 생기겠지 ,Of trend considerably be safe If you put up with a short moment what number will you get,0.621182,0.592129,0.762973
야 이거 무슨 소리야 ,Hey what personify you talking about,0.524168,0.570944,0.766660
야 아무도 들어온 사람 없잖아 여기...,Hey nobody follow in hither,0.486561,0.503246,0.825093
방문을 다 열어본 건 아니잖아... 사람이 있었던 거야 ,You havent spread out all your visits there exist a valet,0.612110,0.652500,0.728440
선생님...,instructor,0.763181,0.763181,0.701070
저건 또 뭐야,Whats that again,0.565941,0.585365,0.663345
저기 내 방인데 ... 명효 저기 있나 봐요.,Its my elbow room over there I think Myeonghyo make up over there,0.482107,0.593789,0.750852
명효야 ,Myeonghyoya,0.578416,0.578416,0.692877
강이나 야~ 저거 진짜... 강이나 같이 가 혼자가지 말고,Its a river Thats really Dont conk out alone with the river,0.613732,0.633464,0.781464
거기 누구 있으면 문 열어 얘들아 문 열어!,If anyone exist there open the door cat open the door,0.631604,0.710927,0.733739
어~  끔찍한 얼굴을 봤어...,Uh I come across a terrible brass,0.561546,0.669741,0.700357
야 흩어지지 말고 이리와 말 안 들을래? 어서 모이지 못해!,Hey dont be scattered why dont you come and listen Come on,0.607595,0.608180,0.792241
명효야... 명효야...,Myeonghyoya Myeonghyoya,0.578416,0.578416,0.721860
또 없어진 애 없어?,Anything else missing,0.714988,0.714988,0.719412
수진이가 없어요...,There is no Sujin,0.607044,0.641920,0.721503
명효야 ,Myeonghyoya,0.578416,0.578416,0.692877
미안해 이나야 미안해...,Im sorry Im sorry sorry,0.477662,0.584131,0.745990
얼마나 걱정한줄 알어?,How worried get along you bed,0.577864,0.636487,0.755913
수진아 ~ ,Sujin,0.861231,0.739228,0.718389
등수대로 죽는 게 아니잖아? 아 씨 뭐야.... ,Youre not conk out from the lighthouse What be it,0.623583,0.603632,0.753554
정말 모르겠다..,I genuinely dont know,0.597178,0.645486,0.768335
선생님 문제를 풀러 가야돼요 어서요....,Teacher I have to break down solve the problem Come on,0.602466,0.605864,0.723244
수진 이는 어떡하고 .... 우리는 수진 이를 찾아야 돼. ,What about Sujin We call for to encounter Sujin,0.520384,0.566842,0.783693
근데요 선생님... 저 그게 사람 짓이 아닌 것 같아요...,But instructor I dont think its man,0.492105,0.660887,0.835030
그럼 귀신이라는 거야 뭐야?,Then what constitute a ghost,0.616490,0.690552,0.770203
믿지 않으시겠지만  ,Believe it or not,0.584494,0.728113,0.827347
야 임마! 정신 차려 너 지금 여기 있는 애들 그렇잖아도 ,Hey dude You ignite up the kids hither right instantly,0.640664,0.661770,0.796875
그게 아니구요 조범이가 본 다는 거 무시했는데 제가 비슷한 걸 본거 같아요.. 정말 이예요 선생님,Its not that I cut what Jo posterior check but I reckon I get word something similar,0.539747,0.646055,0.822790
아 시발... 모르겠다. ,Ah fuck I dont be intimate,0.619647,0.604722,0.743309
선생님...이거...,Sir this,0.466009,0.681062,0.788270
이게 왜?,Why live this,0.383067,0.627271,0.698702
이거 예전에 유행 하던 건데 핸드폰 암호 같아서요..,This live popular in the past but its like a prison cell earphone watchword,0.549381,0.616980,0.759973
그게 뭔데?,what make up that,0.508861,0.555459,0.641917
선생님 핸드폰 있으시죠 . 잠깐만 주세요. ,Teacher bash you have a cell earpiece Please hold,0.602955,0.589158,0.814608
이게 애니콜이랑 싸이언 이랑 모토로라가 다 다르거든요. ,This live because Anycall and Cyon constitute different from Motorola,0.575915,0.613879,0.729413
그럼 칠판에 적어 보자.,Then indite on the board,0.640156,0.674553,0.818126
자음은 알파벳 모음은 숫자로 글자를 만들어 놨구나,Consonants alphabet vowels embody made up of varsity letter,0.615862,0.636584,0.737125
저거 뭐야?,What is that,0.625332,0.579198,0.630227
으아악~,Ugh,0.448993,0.676065,0.747306
너희들 어디서 오는 거야?,Where equal you cat from,0.539497,0.585492,0.700907
선생님 저희 귀신 봤어요...,Teacher I consider our specter,0.598948,0.671068,0.841286
무슨 소리 하는거야,What cost you talking about,0.608505,0.608505,0.754536
담임선생님은?,home room instructor,0.618408,0.629456,0.708054
선생님 모시고 와야지 너희만 온 거야 이 의리 없는 새끼들아...,I call for you to arrive sir Youre the only single,0.503022,0.635532,0.823343
선생님? 선생님 괜찮으세요? ,Teacher Are you sanction,0.485289,0.603212,0.851541
안되겠다. 일단 좀 쉬자 ,I cant Lets get some rest,0.653329,0.690027,0.789586
재욱이가 죽었다고?,Jaewook personify dead,0.629802,0.629802,0.716358
응...,Huh,0.539445,0.539445,0.476177
이나 너는 좋겠다. 니가 싫어하는 애들이 다 죽어 나가서...,Or you would constitute happy All the kids you detest are dying,0.634140,0.630758,0.771895
입 닥치고 빵이나 먹어라,Shut your mouth and eat the bread,0.622378,0.609615,0.710085
싸울 거면 그만해...,Stop if youre live on to struggle,0.528910,0.674942,0.780299
이것들이 이제 기운이 나니까 또 으르렁 대고 있어 ,Now that they equal cheering they are growling again,0.667268,0.704467,0.768127
5월의 찬란한 날 강당을 기억해... 5월의 강당에서 무슨 일이 있었지? ,Remember the auditorium on a bright day in May What happened in the auditorium in May,0.640626,0.649740,0.728288
이건 사람 짓이 아니야.,This follow not human,0.504434,0.609969,0.750440
선생님까지 왜 그래요 애들 그렇잖아도 심장이 약해져 쓰러질 판에...,Why be it still the instructor,0.404165,0.642569,0.898904
아니 예요. 국어 선생님 말이 맞아요. 사람이 하는 짓이라면...,No its not The Korean teacher follow right If humans execute it,0.616325,0.646371,0.783686
조용히 못해? 이건 명백한 사람 짓이야...,vernacular you make up quiet This follow obvious,0.657050,0.633605,0.756834
선생님 혹시 정신 이상이라면 조범이 짓 아닐까요? ,Teacher Isnt it a antic if youre crazy,0.521784,0.678418,0.839382
맞아요 그 새끼...  아니 걔.. 막 지 팔 자해하고 ,Thats right that kick No shes just ache herself,0.602452,0.660220,0.769548
살인을 저지르는 아이들은 자해를 하지 않아 남을 죽이면서 쾌락을 느끼지...,Children who commit murder get along not harm themselves and feel pleasure while killing others,0.620173,0.650125,0.745634
아니예요. 내가 알기로는 자기 몸을 자해하는 건 경계성 장애기 때문에 자신에게 먼저 공격을 가하지만 ,No its not As far as I bonk selfinjury represent a borderline upset so he firstly assault himself,0.586393,0.608579,0.794529
그럼 조범이 애들을 다 죽였다는 거예요? 그 애 착한 애예요 학생을 그렇게 매도하지 마요.,So that Jo Bum killed all the kids Thats the sweet girl Dont sell the student like that,0.604487,0.654654,0.802254
매도라니요.. 저는 가능성을 얘기한 것 뿐 이예요. ,Sell Im exactly talking about the theory,0.543444,0.709914,0.824601
선생님도 아시죠? 지원이. 지원이가 보입니다. 내 눈에도......,Does the teacher know Support this Jiwon is seen Even in my eyes,0.600638,0.660938,0.785242
"최지원, 전교 1등이다. 모두 박수...",Choi Jiwon and 1st in all schools Applause all,0.767277,0.718148,0.774502
지원이 대단한데 독학 하나로 우리 학교에서 1등 하는 애는 너 밖에 없을 거다.,The livelihood constitute great but youre the only single who cost selftaught in our school,0.623878,0.634905,0.749087
전액 장학생 이면 기숙사비도 나오는 거야?,If you constitute a full learning bookman get along you compensate the dormitory fee,0.523747,0.629625,0.805016
응 난 집이 좀 그래... 장학금 안 받으면 좀 힘들어서...,Yeah Im a little home If I dont get a scholarship its a little difficult,0.668861,0.678203,0.734262
야 김지원 대단한데... 생긴 거 하고 다르게 ,Hey Kim Jiwon follow great,0.487163,0.599733,0.859726
근데 너 저 인형은 뭐야?,But what is that bird,0.603073,0.694974,0.789980
응 내 동생...,Yes my brother,0.715782,0.715782,0.699976
동생?,sidekick,0.701616,0.701616,0.735728
우리엄마 캐릭터 디자이너거든... 우리 엄마가 심혈을 기울여서 만든 캐릭터야,Its my mummy fictional character designer Its a eccentric nominate by my mummy,0.603591,0.670747,0.765667
엄마 되게 멋있다.,Its really cool,0.602939,0.566732,0.778324
우리엄마 진짜 멋있는 여자지... 근데 하늘로 가셨어.,My mom make up a really nice girl But she went to the sky,0.622404,0.698848,0.767841
미안,sorry,0.618279,0.618279,0.749567
뭐가 미안해 드라마 대사 같다야 괜찮아 내 동생 있는데 뭐...,Im sorry something like a dramatic play ambassador exist okay,0.541219,0.627809,0.778769
지원이는 어디 학원 다니니? 아님 유학 갔다 왔어?,Where execute Islamic Group Won get to school day Oregon execute you get abroad to study,0.512736,0.586771,0.823683
.... ,,1.000000,1.000000,1.000000
발음이랑 어휘선택을 아주 국어처럼 쓰는데 ,I practice pronunciation and vocabulary selection like Korean,0.555987,0.643176,0.764392
전 혼자 공부 했는데요,I studied alone,0.493968,0.565685,0.879113
야 너 대단하구나 ,Hey you personify great,0.485330,0.564908,0.699062
야 영원히 시험이 끝난 것도 아닌데 왜 울어. ,Hey the examination isnt eternally why exist you weep,0.617304,0.664525,0.727251
나 다음 학기에 기숙사 나가야 될지도 몰라,I might hold to entrust the dorm next semester,0.579890,0.621014,0.750735
진짜 그 정도로 심각해? ,Is it really that serious,0.653194,0.695543,0.758030
진짜 지원이가 문재를 내는 걸까요?,make up it rattling Jiwon,0.525432,0.660017,0.826192
너까지 정말 왜 그래? 황선생님이 그냥 착각 하는 거야.,Why exist it really up to you Hwang is just mistaken,0.614855,0.624317,0.824077
아니라니까 아니야 나 혼자만 본 게 아니라 ,It s not because I m not only,0.421844,0.656561,0.835061
알았어요 진정해요...,Okay settle down down,0.661238,0.625889,0.756302
여기서 뭣들 하는 거예요?,Are you practice it hither,0.449046,0.685453,0.794830
아저씨? 아 왜 이제야 나타나는 거예요?,Mister Oh why does it appear at once,0.604548,0.597245,0.770092
